lat,lon,hour,dayofweek,block_id,occurance
37.750277000000004,-122.417876,2.0,6.0,42,1.0
37.750304,-122.417929,3.0,6.0,42,1.0
37.753746998400004,-122.4193043017,21.0,1.0,1,1.0
37.7801991002,-122.4199514014,20.0,1.0,83,1.0
37.788844502399996,-122.41110639809999,20.0,1.0,71,1.0
37.792898700500004,-122.3998149016,19.0,1.0,4,1.0
37.7538357013,-122.41783029930001,18.0,1.0,2,1.0
37.7799453017,-122.4098744986,18.0,1.0,43,1.0
37.7974381995,-122.4221482982,17.0,1.0,57,1.0
37.7810515006,-122.4208099988,17.0,1.0,83,1.0
37.7975392015,-122.4220118017,17.0,1.0,57,1.0
37.7939739981,-122.4214484987,17.0,1.0,62,1.0
37.7867526979,-122.4217600987,17.0,1.0,79,1.0
37.7538652,-122.4188967009,17.0,1.0,1,1.0
37.7972613973,-122.4221126025,17.0,1.0,58,1.0
37.7844573026,-122.4195817986,17.0,1.0,60,1.0
37.750253002,-122.41834160100001,17.0,1.0,42,1.0
37.7783031025,-122.4189123024,17.0,1.0,15,1.0
37.7505819023,-122.4184694977,17.0,1.0,42,1.0
37.7504522008,-122.41836070059999,17.0,1.0,42,1.0
37.750187802,-122.41833529780001,17.0,1.0,42,1.0
37.785241697800004,-122.41278010209999,17.0,1.0,19,1.0
37.794353899499995,-122.42152519870001,17.0,1.0,17,1.0
37.7860866998,-122.4196925012,17.0,1.0,12,1.0
37.7539191012,-122.4180000999,17.0,1.0,2,1.0
37.7845591025,-122.414712416,17.0,1.0,38,1.0
37.797542800100004,-122.4221693982,17.0,1.0,57,1.0
37.7874374994,-122.41338380030001,17.0,1.0,23,1.0
37.7498997998,-122.4181256999,17.0,1.0,42,1.0
37.7807441027,-122.40857269959999,17.0,1.0,43,1.0
37.7862032027,-122.419716099,17.0,1.0,12,1.0
37.7536702023,-122.42058041879999,17.0,1.0,0,1.0
37.7853691027,-122.41801979739999,17.0,1.0,35,1.0
37.781050098,-122.41975549950001,17.0,1.0,83,1.0
37.7976014008,-122.4221812,17.0,1.0,57,1.0
37.7937005022,-122.4212363974,17.0,1.0,62,1.0
37.7785724019,-122.41679720180001,17.0,1.0,14,1.0
37.789326601599996,-122.4219548998,17.0,1.0,55,1.0
37.7844258984,-122.4144570024,17.0,1.0,38,1.0
37.7896441975,-122.420840699,17.0,1.0,55,1.0
37.7536753041,-122.42049631479999,17.0,1.0,0,1.0
37.7827411023,-122.4173335989,17.0,1.0,37,1.0
37.7928826016,-122.42107559899999,17.0,1.0,59,1.0
37.7536921975,-122.4202144981,17.0,1.0,0,1.0
37.7939305016,-122.4226609019,17.0,1.0,17,1.0
37.7929849,-122.4210963023,17.0,1.0,59,1.0
37.7803353005,-122.4172652026,17.0,1.0,33,1.0
37.7538963024,-122.4168235992,17.0,1.0,3,1.0
37.7537787993,-122.4187759009,17.0,1.0,1,1.0
37.789739198,-122.42009179829999,17.0,1.0,53,1.0
37.7789735989,-122.4107902997,17.0,1.0,43,1.0
37.8001730067,-122.4091952182,17.0,1.0,68,1.0
37.7925358982,-122.4211622008,17.0,1.0,59,1.0
37.7934921001,-122.421351101,17.0,1.0,62,1.0
37.7830629003,-122.41755519969999,17.0,1.0,37,1.0
37.7502523985,-122.4181594008,17.0,1.0,42,1.0
37.7887467024,-122.4218375978,17.0,1.0,76,1.0
37.787380698,-122.41337219969999,17.0,1.0,21,1.0
37.7971932021,-122.4220988003,17.0,1.0,58,1.0
37.7810814869,-122.41950946770001,17.0,1.0,67,1.0
37.795742898200004,-122.40037829959999,17.0,1.0,6,1.0
37.793557898,-122.4213644003,17.0,1.0,62,1.0
37.753839998400004,-122.417759299,17.0,1.0,2,1.0
37.7928302986,-122.4210649987,17.0,1.0,59,1.0
37.7888797008,-122.4108294991,17.0,1.0,71,1.0
37.750025902800004,-122.4183198975,17.0,1.0,42,1.0
37.7973804985,-122.4219797996,17.0,1.0,58,1.0
37.753684703000005,-122.4203402158,17.0,1.0,0,1.0
37.7899877996,-122.4106703994,17.0,1.0,9,1.0
37.7870486014,-122.42149410180001,17.0,1.0,87,1.0
37.7539652017,-122.41723430129998,17.0,1.0,3,1.0
37.7872606066,-122.4170737155,17.0,1.0,66,1.0
37.7925596022,-122.4210101978,17.0,1.0,59,1.0
37.7998860047,-122.4091372155,17.0,1.0,68,1.0
37.7834335984,-122.4108951015,17.0,1.0,75,1.0
37.7927086995,-122.42104029999999,17.0,1.0,59,1.0
37.753774200500004,-122.4188523998,17.0,1.0,1,1.0
